1 9 35 42 39 43 47 49 53
2 9 39 41 44 50 54 58 55
3 8 33 34 36 43 44 51 43
4 6 35 39 41 44 47 51 46
5 9 26 37 38 42 48 44 47
6 6 31 36 44 46 49 51 49
7 10 37 40 37 45 48 49 55
8 10 37 36 39 37 46 50 56
9 8 19 30 37 40 35 40 41
10 6 22 33 31 38 40 47 48
11 9 38 46 46 43 51 55 55
12 8 30 38 37 41 41 48 50
13 8 24 30 36 31 37 47 43
14 9 32 42 47 51 52 58 56
15 12 37 39 43 48 50 51 54
16 10 35 36 45 53 46 47 53
17 7 28 34 31 39 47 46 40
18 10 26 26 34 43 42 48 45
19 6 25 33 31 44 43 38 50
20 10 35 37 41 44 46 42 48
21 7 27 43 37 41 44 44 47
22 7 32 33 33 39 38 43 45
23 4 27 38 34 39 50 45 44
24 8 34 37 41 38 50 49 50
25 7 18 27 22 30 27 35 37
26 6 18 24 27 33 37 38 43
27 7 27 36 36 49 45 58 46
28 6 32 34 40 43 42 44 44
29 9 28 44 37 41 47 46 47
30 8 32 30 35 37 41 42 44
31 9 24 24 28 32 37 38 43
32 7 28 34 42 45 54 50 53
33 5 28 32 37 34 42 47 47
34 10 27 30 34 41 46 48 46
35 10 38 44 44 48 52 54 64
36 7 27 38 36 42 37 47 51
37 7 29 30 40 42 41 47 47
38 10 25 33 31 39 44 46 52
39 7 28 28 30 43 39 51 50
40 6 30 26 36 33 37 41 34
41 8 19 27 29 38 41 38 43
42 5 20 26 29 33 34 39 41
43 10 36 40 43 46 44 50 55
44 9 29 37 35 45 45 45 48
45 8 22 31 37 45 43 51 48
46 9 21 26 29 32 34 33 41
47 9 10 18 25 26 35 36 34
48 10 33 42 46 48 52 53 54
49 8 25 37 42 46 51 47 54
50 14 34 37 41 40 42 47 46
51 7 20 21 28 38 39 39 38
52 10 18 22 32 37 38 39 33
53 8 29 28 31 40 38 43 42
54 10 22 29 35 40 45 45 48
55 10 27 34 35 37 42 41 44
56 7 29 36 38 38 46 43 52
57 8 28 32 35 39 38 36 39
58 6 23 27 29 38 37 43 47
59 7 11 25 29 32 33 34 38
60 11 17 21 20 30 30 32 34
61 4 37 39 49 46 45 48 48
62 9 23 20 27 31 32 41 35
63 10 29 34 35 42 46 49 51
64 7 26 35 29 38 42 45 50
65 6 35 36 37 46 44 45 48
66 12 23 32 32 36 36 43 48
67 8 18 21 26 31 36 37 38
68 6 32 36 42 48 52 49 52
69 8 28 36 38 40 44 49 43
70 9 27 34 31 37 40 46 49
71 5 27 25 35 38 36 42 40
72 11 34 36 40 45 46 46 51
73 9 37 33 42 45 47 50 59
74 7 24 23 30 41 40 42 44
75 8 26 36 33 38 46 42 43
76 11 35 38 41 41 44 47 46
77 9 33 33 37 42 50 45 52
78 10 34 43 45 46 47 53 53
79 11 30 44 43 43 51 50 54
80 6 25 30 35 40 39 41 39
81 10 25 31 33 41 36 37 40
82 11 34 38 44 48 50 53 53
83 7 29 35 45 41 40 50 51
84 11 32 35 40 53 43 50 51
85 10 43 46 50 49 58 52 55
86 6 19 26 29 31 37 34 45
87 8 26 30 34 31 36 41 44
88 8 28 24 31 34 33 36 44
89 11 31 22 30 32 34 42 44
90 8 32 28 28 34 38 43 44
91 7 25 35 37 43 45 44 46
92 10 30 27 28 30 34 36 37
93 8 31 32 40 41 44 44 46
94 9 34 45 48 52 44 50 44
95 8 25 25 26 29 37 42 38
96 9 37 31 45 50 45 54 53
97 6 24 33 35 39 37 47 41
98 9 39 42 41 44 53 54 55
99 7 41 48 48 41 50 55 53
100 8 13 20 31 31 36 39 35
101 4 18 26 30 37 30 35 45
102 9 29 41 42 41 50 50 51
103 7 34 44 41 48 48 48 44
104 13 27 28 38 42 44 46 49
105 3 25 23 30 33 41 35 40
106 8 32 40 51 56 56 59 57
107 12 26 31 35 40 42 44 46
108 9 34 38 44 50 40 48 47
109 11 37 37 49 54 46 49 57
110 9 35 45 45 51 56 49 54
111 5 24 37 35 37 42 47 46
112 8 26 32 39 45 37 41 43
113 10 31 32 35 46 45 49 55
114 11 30 30 42 38 45 41 45
115 9 27 42 35 45 45 52 48
116 10 37 37 38 47 55 55 55
117 8 38 43 49 45 53 51 55
118 7 15 27 30 35 29 35 37
119 8 26 38 34 34 42 39 46
120 8 14 25 31 29 28 33 33
121 7 41 43 49 43 51 52 49
122 5 22 32 36 37 42 44 39
123 10 29 34 44 41 47 48 46
124 5 32 33 32 38 48 43 49
125 8 20 29 35 37 36 42 33
126 9 34 40 46 45 50 51 53
127 3 27 29 36 39 44 39 48
128 9 35 48 45 51 53 51 55
129 6 34 34 31 37 49 42 50
130 9 36 46 45 49 49 54 45
131 11 34 40 43 47 56 50 52
132 6 23 28 30 38 43 44 39
133 7 36 29 34 41 46 49 48
134 9 34 37 38 44 47 48 51
135 9 29 38 49 40 46 51 52
136 10 20 26 27 38 36 39 44
137 7 19 32 29 42 40 44 46
138 4 33 32 36 35 40 34 43
139 7 26 30 33 46 42 46 48
140 6 28 25 30 34 39 44 43
141 8 32 42 43 52 48 52 43
142 6 26 33 37 38 40 46 49
143 5 30 32 40 39 43 39 37
144 6 26 31 35 41 44 47 53
145 6 27 36 39 46 46 56 55
146 9 23 31 30 32 37 47 42
147 9 27 35 37 36 37 45 42
148 9 23 30 32 32 45 40 40
149 8 32 38 33 37 46 49 47
150 8 32 29 33 39 44 44 39
151 5 36 42 43 46 47 48 51
152 6 24 29 38 35 40 40 44
153 9 38 47 52 48 50 59 53
154 6 27 31 38 40 42 45 34
155 9 18 21 29 31 32 37 33
156 7 23 31 26 27 34 39 44
157 9 28 34 37 51 52 51 53
158 8 20 27 28 30 32 34 38
159 10 19 24 35 34 40 40 46
160 9 34 36 41 40 44 48 53
161 9 20 26 23 28 32 32 36
162 7 30 33 33 34 41 42 44
163 13 24 33 32 37 39 49 43
164 9 31 33 39 43 45 48 47
165 12 22 33 36 46 44 49 49
166 8 32 36 40 42 40 42 39
167 10 33 30 31 43 50 46 53
168 8 22 31 29 35 36 37 37
169 9 25 25 33 36 35 35 44
170 5 23 28 29 34 37 41 40
171 8 30 37 38 41 41 41 49
172 7 34 39 46 43 52 59 48
173 9 32 34 36 44 44 50 52
174 10 32 36 42 45 49 46 50
175 11 25 30 33 45 44 46 48
176 8 27 35 34 37 37 42 37
177 9 25 28 35 38 37 42 43
